# x* y* theta* x y theta
0.528891 0.01351 0.002776 0.508382 -0.00731 -0.001131
1.108122127620484 0.01426800046573057 0.003897 1.057134718448191 -0.01671099520494121 -0.003916
1.639840286562102 0.03707497406649637 0.002183 1.587143969852815 -0.02713299603963395 -0.006605999999999999
2.147810797688589 0.07312595871179547 0.0005390000000000004 2.103329517861186 -0.03874599635907751 -0.009225999999999998
2.66973781159398 0.06767495656685371 0.004277 2.620470642399181 -0.05163200110697676 -0.013301
3.218588824241078 0.0796009542704732 0.003101000000000001 3.137581278864324 -0.06592500119224148 -0.014477
3.710025248911082 0.0876429548476662 0.010242 3.654642544853787 -0.08173800271332515 -0.017102
4.271026176863817 0.1078049833730975 0.006166999999999999 4.171654625245961 -0.0990189994032874 -0.021177
4.783259926437781 0.09985795776359489 0.019172 4.687635500271232 -0.1176169998106956 -0.023797
5.323900905330479 0.1073369561118017 0.017996 5.204556819100118 -0.1374970041772672 -0.024973
5.851613697505391 0.1163759525603179 0.021734 5.721436909344548 -0.1585250057508296 -0.029048
6.422582450406689 0.1342339480872157 0.026042 6.312082669362424 -0.1841899981949225 -0.030598
6.94367002296409 0.1579719257796197 0.031235 6.827848992350785 -0.2080220090768433 -0.033218
7.471178077857205 0.1564108993954643 0.036422 7.344533200572408 -0.2333090188722809 -0.03584399999999999
7.987055817083913 0.2032719230865885 0.040633 7.861157025021647 -0.2597910083294168 -0.038469
8.513309599920325 0.2085299494327225 0.04632399999999999 8.377705244789967 -0.287793018099964 -0.042544
9.020947523999729 0.2254959495713935 0.04514799999999999 8.894186314496011 -0.3169310165797417 -0.043719
9.572907464051941 0.2260389252235532 0.05717599999999999 9.409583191188174 -0.3477420159821296 -0.04634
10.07841786200829 0.281575995753217 0.05407799999999999 9.925873609740659 -0.3800760329444671 -0.050414
10.61524554454461 0.3025019764216872 0.06071499999999999 10.44208275712128 -0.4137060360640869 -0.05159
11.13991803668015 0.3408400101042531 0.05273399999999999 10.95819379072151 -0.4488570421311442 -0.05566499999999999
11.65801911107402 0.3494370418218622 0.05792099999999999 11.4742141146388 -0.4852530552689404 -0.05828999999999999
12.17620914397017 0.3718930450898819 0.06846899999999999 11.98917543612678 -0.522661078363347 -0.05946099999999999
12.69174625285117 0.4143810551706366 0.067797 12.50500573819776 -0.5616560985283857 -0.06208599999999999
